"number","base_treaty","name","entry_type","full_fta","standards","investments","services","procurement","competition","iprs","depth_index","depth_rasch"
"182",182,"Central African Customs and Economic Union (UDEAC)","base treaty",1,0,0,0,0,0,0,1,-0.738650751673803
"183",183,"Central America Chile","base treaty",0,1,1,1,1,1,0,5,1.64216320790066
"184",184,"Central America Dominican Republic","base treaty",1,1,1,1,1,1,0,6,1.58727301083762
"185",185,"Central America Panama","base treaty",1,1,0,1,1,1,0,5,1.07406608904119
"186",186,"Central American Common Market (CACM)","base treaty",1,0,0,0,0,0,0,1,-0.231064098937664
"714a",186,"Central American Common Market (CACM) Protocol of Guatemala","consolidated",1,0,0,0,0,0,0,1,-0.000736131997322954
"187",187,"Central American Free Trade Agreement (CAFTA)","base treaty",1,1,1,1,1,0,1,6,1.94833402660702
"188",188,"Central American Free Trade Agreement (CAFTA) Dominican Republic","base treaty",1,1,1,1,1,0,1,6,2.01936534447247
"189",189,"Central American Free Trade Area (CAFTA)","base treaty",1,0,0,0,0,0,0,1,-0.370565920730603
"190",190,"Central American Integration System","base treaty",0,0,0,0,0,0,0,0,-1.43010338995022
"192",192,"Central European Free Trade Agreement (CEFTA)","base treaty",1,1,0,0,0,0,0,2,-0.000736131967672415
"193a",192,"Central European Free Trade Agreement (CEFTA)","consolidated",1,1,0,0,0,0,0,2,-0.000736131967672415
"199",199,"Chile China","base treaty",1,1,0,0,0,0,1,3,0.27206615202714
